"id","sid1","sid2","sentence1","sentence2","similar_score"
"0","1","2","我可以给您介绍一下免费拿手机的活动吗","您可以给我介绍一下免费拿手机的活动吗","0"
"1","3","4","我可以给您介绍一下不要钱就能拿手机的活动吗","我来给您介绍一下免费就能得到好手机的活动","1"
"2","5","6","我该叫你妈妈什么","我应该怎么称呼你妈妈","1"
"3","7","8","爸爸的儿子我应该叫什么","儿子的爸爸我该怎么叫","0"
"4","9","10","秦始皇的皇宫在哪里","秦始皇的宫殿可以在哪找到","1"
"5","11","12","中国陆地面积最大的是哪个省","美国哪个州的陆地面积最大","0"
"6","13","14","帮我查话费","帮我查流量","0"
"7","15","16","帮我查话费","我确定话费","1"
"8","17","18","北京的首都是中国","中国的首都是北京","0"
"9","19","20","美国人口最多的城市是哪个","美国哪个州的陆地面积最大","0"
"10","21","22","不能说的秘密的主演是哪个","谁导演的不能说的秘密","0"
